"id_ticket","data_abertura","status","modulo","caminho","tipo","responsável","prioridade","última_atualização","tempo_gasto_uteis"
401,"31/03/2026 10:43:58",Cancelado,UniFiscal,UniFiscal,Erro,,Alta,"31/03/2026 10:56:53","0 dias 0 horas 12 minutos"
400,"31/03/2026 09:36:04",Concluído,UniFiscal,UniFiscal > D + 1 > Espelho NF-e,Erro,GUILHERME LOPES PIRES DA SILVA,Média,"31/03/2026 10:36:49","0 dias 1 horas 0 minutos"
399,"31/03/2026 09:34:29",Concluído,UniFiscal,UniFiscal > D + 1 > Espelho NF-e,Erro,GUILHERME LOPES PIRES DA SILVA,Alta,"31/03/2026 09:43:01","0 dias 0 horas 8 minutos"
398,"30/03/2026 15:57:50",Concluído,UniFiscal,UniFiscal > D+1 > Espelho NF-e,Erro,GUILHERME LOPES PIRES DA SILVA,Média,"31/03/2026 08:41:55","1 dias 16 horas 44 minutos"
397,"30/03/2026 14:29:52",Cancelado,UniDP,UniDP,Dúvidas,,Média,"30/03/2026 14:35:31","0 dias 0 horas 5 minutos"
396,"30/03/2026 14:05:49",Cancelado,UniFiscal,UniFiscal,Erro,,Alta,"30/03/2026 14:06:12","0 dias 0 horas 0 minutos"
395,"30/03/2026 13:59:53",Cancelado,UniFiscal,UniFiscal,Dúvidas,,Alta,"30/03/2026 14:05:20","0 dias 0 horas 5 minutos"
394,"30/03/2026 13:13:18",Cancelado,UniDP,UniDP,Erro,,Baixa,"30/03/2026 13:14:43","0 dias 0 horas 1 minutos"
393,"30/03/2026 11:04:40",Concluído,UniFiscal,UniFiscal > D + 1 > Upload Arquivo SPED,Erro,GUILHERME LOPES PIRES DA SILVA,Alta,"01/04/2026 11:17:28","2 dias 0 horas 12 minutos"
392,"30/03/2026 10:55:57",Cancelado,UniFiscal,UniFiscal > D + 1 > Upload Arquivo SPED,Erro,,Alta,"30/03/2026 11:07:08","0 dias 0 horas 11 minutos"
391,"30/03/2026 10:37:06",Cancelado,UniFiscal,UniFiscal > D+1 > Upload Arquivo SPED,Erro,,Alta,"30/03/2026 10:41:14","0 dias 0 horas 4 minutos"
390,"30/03/2026 10:30:12",Cancelado,UniDP,UniDP > Meu Portal > Controle de Ponto,Erro,,Alta,"30/03/2026 10:32:59","0 dias 0 horas 2 minutos"
